symbol,company_name,as_of_date,layer,current_stage,current_score,eps_fcf_explosion,earnings_visibility,bottleneck_pricing,market_mispricing,valuation_rerating,capital_allocation,information_confidence,risk_penalty,revision_score,price_stage_score,contract_quality,backlog_rpo_visibility,capa_constraint,asp_pricing_power,structural_shortage,one_off_shortage_risk,red_team_risk,hard_audit_count,explanation
247540,에코프로비엠,2024-06-01,event_search,1,0.0,0.0,0.0,1.2,0.6,0.45,0.0,1.5,4.0,0.0,36.5079,0.0,0.0,0.0,0.0,20.0,0.0,low,0,"Stage 2 gate failed: failed_stage2_total_score, failed_stage2_eps_fcf, failed_stage2_valuation, failed_stage2_information_confidence."
257720,실리콘투,2024-06-01,event_search,0,0.0,0.0,0.0,1.2,0.6,0.45,0.0,0.75,4.0,0.0,22.7273,0.0,0.0,0.0,0.0,20.0,0.0,low,0,"Stage 2 gate failed: failed_stage2_total_score, failed_stage2_eps_fcf, failed_stage2_valuation, failed_stage2_information_confidence."
103590,일진전기,2024-06-01,event_search,2,65.547,20.0,12.61,5.488,11.2815,10.6361,1.26,4.5,0.2286,100.0,17.1014,33.0,70.0,27.5,20.0,36.05,0.0,low,0,"Stage 2 is possible, but Stage 3-Green gate failed: failed_stage3_total_score, failed_stage3_visibility, failed_stage3_bottleneck, failed_stage3_contract_quality."
000660,SK하이닉스,2024-07-01,event_search,1,20.08,14.0,4.0,2.696,0.648,0.486,0.0,2.25,4.0,0.0,9.7436,0.0,0.0,0.0,20.0,21.6,0.0,low,0,"Stage 2 gate failed: failed_stage2_total_score, failed_stage2_valuation, failed_stage2_information_confidence."
003230,삼양식품,2024-07-01,event_search,1,45.6775,20.0,4.0,2.696,9.828,8.6535,0.0,4.5,4.0,100.0,22.2764,0.0,0.0,0.0,20.0,21.6,0.0,low,0,Stage 2 gate failed: failed_stage2_total_score.
257720,실리콘투,2024-07-01,event_search,0,0.0,0.0,0.0,1.2,0.6,0.45,0.0,0.75,4.0,0.0,22.7273,0.0,0.0,0.0,0.0,20.0,0.0,low,0,"Stage 2 gate failed: failed_stage2_total_score, failed_stage2_eps_fcf, failed_stage2_valuation, failed_stage2_information_confidence."
103590,일진전기,2024-07-01,event_search,2,65.547,20.0,12.61,5.488,11.2815,10.6361,1.26,4.5,0.2286,100.0,17.1014,33.0,70.0,27.5,20.0,36.05,0.0,low,0,"Stage 2 is possible, but Stage 3-Green gate failed: failed_stage3_total_score, failed_stage3_visibility, failed_stage3_bottleneck, failed_stage3_contract_quality."
062040,산일전기,2025-03-01,event_search,1,40.1962,18.0,0.0,4.444,9.497,8.5052,0.0,3.75,4.0,93.3333,24.3386,0.0,0.0,23.0,20.0,23.9,0.0,low,0,Stage 2 gate failed: failed_stage2_total_score.
012450,한화에어로스페이스,2024-08-01,deep_research,1,32.6675,0.0,9.38,1.968,9.164,8.4055,0.0,3.75,0.0,83.3333,11.1111,44.0,70.0,0.0,0.0,32.8,0.0,low,0,"Stage 2 gate failed: failed_stage2_total_score, failed_stage2_eps_fcf."
001440,대한전선-like,2026-02-01,event_search,1,0.0,0.0,0.0,1.2,0.6,0.45,0.0,1.5,4.0,0.0,14.8438,0.0,0.0,0.0,0.0,20.0,0.0,low,0,"Stage 2 gate failed: failed_stage2_total_score, failed_stage2_eps_fcf, failed_stage2_valuation, failed_stage2_information_confidence."
